,model-name,k-fold,acc,precision,recall,fscore
0,basic,1,0.4591928251121076,0.590082467796253,0.39431395064416885,0.4057212227276852
1,basic,2,0.48117942283563364,0.6074565762408037,0.4166077317928975,0.4270034184689964
2,basic,3,0.471253534401508,0.6024533183820753,0.4053896888431591,0.40670322710680756
3,basic,4,0.46987587042082957,0.6100429486830296,0.40890539217846683,0.42709668419505714
4,basic,5,0.48076331178824255,0.6026771199987412,0.418416504989594,0.42721948192688275
5,only lowercase,1,0.4618834080717489,0.5946713625001167,0.39867229143093164,0.4126472573717426
6,only lowercase,2,0.48431618569636137,0.6032906692129819,0.4181708170581513,0.427033473873992
7,only lowercase,3,0.4781652529060635,0.6120539821172296,0.41068546386899757,0.412450559671952
8,only lowercase,4,0.46715107478050255,0.5964300381359726,0.4054300515890032,0.4225270775403092
9,only lowercase,5,0.48230224684518314,0.5973359165360839,0.4198110803715822,0.42920441425750566
10,only lowercase with 2-grams,1,0.5428998505231689,0.6695642982229062,0.48389072996503824,0.5091738304646765
11,only lowercase with 2-grams,2,0.5680677540777918,0.7450998516423806,0.5076062788493447,0.5344279432850904
12,only lowercase with 2-grams,3,0.5560791705937794,0.7470008345461417,0.4949852548547119,0.5173198036087029
13,only lowercase with 2-grams,4,0.5603996366939146,0.7477501274516039,0.5039623349932107,0.535967750188615
14,only lowercase with 2-grams,5,0.5657125269313635,0.6966798951874655,0.5104548019547606,0.5360173693320267
15,only lowercase with 3-grams,1,0.5695067264573991,0.6990675322075444,0.5131085467528275,0.5436849421245901
16,only lowercase with 3-grams,2,0.5984943538268507,0.7627392948441123,0.5417791328410672,0.5733859077358635
17,only lowercase with 3-grams,3,0.5874960728872133,0.7751721284813444,0.5300227346749418,0.5600422241605494
18,only lowercase with 3-grams,4,0.5861338177414471,0.7783609136202002,0.5327112346809525,0.5708518341431279
19,only lowercase with 3-grams,5,0.5952600800246229,0.7770773921925122,0.5438114662136124,0.5731858382057914
