,model-name,k-fold,acc,precision,recall,fscore
0,basic,1,0.683408071748879,0.8469433287921971,0.6621852104301709,0.7139066560636976
1,basic,2,0.6913425345043914,0.8509199167593849,0.6668392439724259,0.7186707900979259
2,basic,3,0.6896010053408734,0.8412275218942122,0.6657099877305309,0.7153339414496471
3,basic,4,0.6824099303663337,0.846861368583157,0.6565325876768525,0.7101782943388496
4,basic,5,0.6789781471221914,0.8447183517419349,0.653292281369393,0.7036966649895812
5,only lowercase,1,0.6986547085201794,0.8543982949232478,0.6759633263573119,0.7255821796403726
6,only lowercase,2,0.7092220828105396,0.8584554006514058,0.6834774473209183,0.7334764612978462
7,only lowercase,3,0.7065661325793277,0.8556529158077335,0.6836317554244247,0.7325259081985154
8,only lowercase,4,0.703905540417802,0.8562775032920733,0.676326431693533,0.7283814343291689
9,only lowercase,5,0.6992920898738073,0.8489105792895578,0.6722258778646776,0.7205739219226688
10,only lowercase with 2-grams,1,0.6929745889387146,0.8637567507908996,0.6703809656579184,0.7231015850957547
11,only lowercase with 2-grams,2,0.7029485570890841,0.8632457880113994,0.6753940074815518,0.7280368102135907
12,only lowercase with 2-grams,3,0.702167766258247,0.8616636806981791,0.67714281256083,0.7286416569884482
13,only lowercase with 2-grams,4,0.6969421737814109,0.8597649545131049,0.6700161627357882,0.7243617108747316
14,only lowercase with 2-grams,5,0.6989843028624192,0.8633466060379323,0.6692125926137349,0.7188979228438288
