,model-name,k-fold,acc,precision,recall,fscore
0,neural model with 3 layers,1,0.05560538116591928,0.046149832913941105,0.05323762346383824,0.043668006946372004
1,neural model with 3 layers,2,0.05081555834378921,0.051824654340960674,0.05011176777851125,0.04376736992075304
2,neural model with 3 layers,3,0.05969211435752435,0.04272250414031212,0.056436728307286244,0.0418642180452585
3,neural model with 3 layers,4,0.06145927944293067,0.04158790770144751,0.059737451473523696,0.04171009366602379
4,neural model with 3 layers,5,0.04739919975377039,0.05255754461244268,0.04816886917477732,0.029810364061060864
5,neural model with conv2d layer,1,0.09147982062780269,0.03074675079608788,0.054148889694765535,0.02134355327747528
6,neural model with conv2d layer,2,0.08939774153074027,0.021361705912436347,0.0545024150935185,0.016014662403216473
7,neural model with conv2d layer,3,0.08325479107759975,0.00852763932302667,0.05269359573324513,0.013563561674851884
8,neural model with conv2d layer,4,0.08931274598849531,0.02806802149038144,0.05318227238257743,0.01869888929484398
9,neural model with conv2d layer,5,0.09295167743921207,0.01400307766110342,0.055478707115412786,0.016670453241197397
10,neural model with conv2d and conv1d layers,1,0.06606875934230194,0.031813129068236204,0.05293957242800419,0.029279739730289495
11,neural model with conv2d and conv1d layers,2,0.08155583437892096,0.009987362250649267,0.05233105585124311,0.011015324927461411
12,neural model with conv2d and conv1d layers,3,0.08419729814640277,0.004434222935521766,0.05263157894736842,0.008179334971234986
13,neural model with conv2d and conv1d layers,4,0.0950650923402967,0.0050034259126471945,0.05263157894736842,0.009138134249086915
14,neural model with conv2d and conv1d layers,5,0.08433364112034472,0.004438612690544459,0.05263157894736842,0.008186802515798437
